ColumnName	GroupSize	PSTime	Variant	TotalSize	Intent	GlobalSize	localSize	Aggregate	AggTime
p_partkey	16384	271360	6	16384	64	256	128	1	29696
p_partkey	16384	271360	6	16384	64	256	256	0	0
p_partkey	16384	271360	6	16384	128	128	2	1	47308.8
p_partkey	16384	271360	6	16384	128	128	4	1	47718.4
p_partkey	16384	271360	6	16384	128	128	8	1	48025.6
p_partkey	16384	271360	6	16384	128	128	16	1	50790.4
p_partkey	16384	271360	6	16384	128	128	32	1	56828.8
p_partkey	16384	271360	6	16384	128	128	64	1	56524.8
p_partkey	16384	271360	6	16384	128	128	128	0	0
p_partkey	16384	271360	6	16384	256	64	2	1	79564.8
p_partkey	16384	271360	6	16384	256	64	4	1	80179.2
p_partkey	16384	271360	6	16384	256	64	8	1	83251.2
p_partkey	16384	271360	6	16384	256	64	16	1	88780.8
p_partkey	16384	271360	6	16384	256	64	32	1	101478
p_partkey	16384	271360	6	16384	256	64	64	0	0
p_partkey	16384	271360	6	16384	512	32	2	1	148685
p_partkey	16384	271360	6	16384	512	32	4	1	154624
p_partkey	16384	271360	6	16384	512	32	8	1	158925
p_partkey	16384	271360	6	16384	512	32	16	1	169677
p_partkey	16384	271360	6	16384	512	32	32	0	0
p_partkey	16384	271360	7	16384	2	8192	2	1	44544
p_partkey	16384	271360	7	16384	2	8192	4	1	26419.2
p_partkey	16384	271360	7	16384	2	8192	8	1	16793.6
p_partkey	16384	271360	7	16384	2	8192	16	1	11980.8
p_partkey	16384	271360	7	16384	2	8192	32	1	9216
p_partkey	16384	271360	7	16384	2	8192	64	1	7987.2
p_partkey	16384	271360	7	16384	2	8192	128	1	8089.6
p_partkey	16384	271360	7	16384	2	8192	256	1	8601.6
p_partkey	16384	271360	7	16384	2	8192	512	1	7577.6
p_partkey	16384	271360	7	16384	2	8192	1024	1	8294.4
p_partkey	16384	271360	7	16384	4	4096	2	1	31436.8
p_partkey	16384	271360	7	16384	4	4096	4	1	19968
p_partkey	16384	271360	7	16384	4	4096	8	1	13516.8
p_partkey	16384	271360	7	16384	4	4096	16	1	10752
p_partkey	16384	271360	7	16384	4	4096	32	1	8806.4
p_partkey	16384	271360	7	16384	4	4096	64	1	8192
p_partkey	16384	271360	7	16384	4	4096	128	1	8601.6
p_partkey	16384	271360	7	16384	4	4096	256	1	8704
p_partkey	16384	271360	7	16384	4	4096	512	1	8908.8
p_partkey	16384	271360	7	16384	4	4096	1024	1	9216
p_partkey	16384	271360	7	16384	8	2048	2	1	24883.2
p_partkey	16384	271360	7	16384	8	2048	4	1	16793.6
p_partkey	16384	271360	7	16384	8	2048	8	1	12700.8
p_partkey	16384	271360	7	16384	8	2048	16	1	9932.8
p_partkey	16384	271360	7	16384	8	2048	32	1	9728
p_partkey	16384	271360	7	16384	8	2048	64	1	9216
p_partkey	16384	271360	7	16384	8	2048	128	1	9523.2
p_partkey	16384	271360	7	16384	8	2048	256	1	10342.4
p_partkey	16384	271360	7	16384	8	2048	512	1	10240
p_partkey	16384	271360	7	16384	8	2048	1024	1	12390.4
p_partkey	16384	271360	7	16384	16	1024	2	1	20889.6
p_partkey	16384	271360	7	16384	16	1024	4	1	14950.4
p_partkey	16384	271360	7	16384	16	1024	8	1	10956.8
p_partkey	16384	271360	7	16384	16	1024	16	1	10752
p_partkey	16384	271360	7	16384	16	1024	32	1	10444.8
p_partkey	16384	271360	7	16384	16	1024	64	1	11059.2
p_partkey	16384	271360	7	16384	16	1024	128	1	11571.2
p_partkey	16384	271360	7	16384	16	1024	256	1	10752
p_partkey	16384	271360	7	16384	16	1024	512	1	14336
p_partkey	16384	271360	7	16384	16	1024	1024	0	0
p_partkey	16384	271360	7	16384	32	512	2	1	26316.8
p_partkey	16384	271360	7	16384	32	512	4	1	14848
p_partkey	16384	271360	7	16384	32	512	8	1	13315.2
p_partkey	16384	271360	7	16384	32	512	16	1	13926.4
p_partkey	16384	271360	7	16384	32	512	32	1	13619.2
p_partkey	16384	271360	7	16384	32	512	64	1	14028.8
p_partkey	16384	271360	7	16384	32	512	128	1	13414.4
p_partkey	16384	271360	7	16384	32	512	256	1	17920
p_partkey	16384	271360	7	16384	32	512	512	0	0
p_partkey	16384	271360	7	16384	64	256	2	1	27852.8
p_partkey	16384	271360	7	16384	64	256	4	1	17408
p_partkey	16384	271360	7	16384	64	256	8	1	17612.8
p_partkey	16384	271360	7	16384	64	256	16	1	17408
p_partkey	16384	271360	7	16384	64	256	32	1	20275.2
p_partkey	16384	271360	7	16384	64	256	64	1	22016
p_partkey	16384	271360	7	16384	64	256	128	1	20582.4
p_partkey	16384	271360	7	16384	64	256	256	0	0
p_partkey	16384	271360	7	16384	128	128	2	1	38400
p_partkey	16384	271360	7	16384	128	128	4	1	28876.8
p_partkey	16384	271360	7	16384	128	128	8	1	27033.6
p_partkey	16384	271360	7	16384	128	128	16	1	30208
p_partkey	16384	271360	7	16384	128	128	32	1	30720
p_partkey	16384	271360	7	16384	128	128	64	1	38912
p_partkey	16384	271360	7	16384	128	128	128	0	0
